Date,Scans,Active_Devices,Bluetooth
20/05/21,607824,326280,1303142
21/05/21,576295,299730,1300029
22/05/21,489264,261315,1290406
23/05/21,479690,268877,1298494
24/05/21,520694,286602,1300515
25/05/21,558595,301828,1303384
26/05/21,577036,313009,1304535
27/05/21,609887,324347,1307000
28/05/21,585759,309943,1304612
29/05/21,474627,255175,1297379
30/05/21,449589,256187,1303456
31/05/21,506950,281826,1306235
1/06/21,553267,300753,1329251
2/06/21,572279,309351,1418055
3/06/21,591765,313616,1428554
4/06/21,605316,318045,1436614
5/06/21,520270,271170,1424433
6/06/21,405680,224634,1424498
7/06/21,473099,266503,1435934
8/06/21,552404,297801,1438991
9/06/21,557118,299793,1439912
10/06/21,570826,306013,1440168
11/06/21,539532,286327,1439058
12/06/21,449489,242941,1432431
13/06/21,445476,252590,1439201
14/06/21,472994,265104,1441218
15/06/21,504841,276758,1442094
16/06/21,518631,283107,1442938
17/06/21,531454,286469,1442705
18/06/21,509579,271606,1441336
19/06/21,415261,226835,1435191
20/06/21,413270,237887,1441967
21/06/21,471725,262074,1444165
22/06/21,572746,318622,1446423
23/06/21,895834,482433,1475236
24/06/21,961906,491460,1482381
25/06/21,942473,475317,1476297
26/06/21,792128,399592,1472625
27/06/21,755205,404930,1481350
28/06/21,806658,430272,1486958
29/06/21,806154,434548,1494143
30/06/21,858644,448953,1495931
1/07/21,844981,436388,1493706
2/07/21,815144,418608,1491864
3/07/21,703973,356799,1484382
4/07/21,660574,357404,1491245
5/07/21,695689,371356,1493789
6/07/21,703790,372903,1495009
7/07/21,720507,380327,1494760
8/07/21,726658,379057,1494548
9/07/21,718993,367985,1492946
10/07/21,628337,324897,1485271
11/07/21,590761,321561,1491288
12/07/21,657295,346003,1493767
13/07/21,674317,352810,1494486
14/07/21,696012,361282,1495008
15/07/21,701051,359956,1495096
16/07/21,626674,325928,1493082
17/07/21,499839,272182,1486125
18/07/21,547508,301763,1492538
19/07/21,624094,331297,1494995
20/07/21,648848,339050,1495447
21/07/21,626733,332186,1495777
22/07/21,641684,336040,1495497
23/07/21,641951,330353,1493283
24/07/21,543283,288645,1486250
25/07/21,512442,287861,1493397
26/07/21,551162,302933,1494941
27/07/21,580863,314734,1495321
28/07/21,602506,324669,1495060
29/07/21,618186,327945,1494077
30/07/21,586522,308169,1492106
31/07/21,503668,270444,1484584
1/08/21,499474,280466,1491811
2/08/21,530983,291151,1494080
3/08/21,540928,295301,1494971
4/08/21,568877,307742,1497332
5/08/21,575603,304840,1500805
6/08/21,572642,297143,1502392
7/08/21,475993,255568,1497827
8/08/21,439215,249740,1506839
9/08/21,522059,286544,1510613
10/08/21,579499,307999,1513447
11/08/21,615330,326926,1516064
12/08/21,643727,334965,1519130
13/08/21,624908,322279,1519903
14/08/21,529429,279979,1514023
15/08/21,527370,291369,1521423
16/08/21,556552,302568,1525306
17/08/21,760109,501540,1580427
18/08/21,497085,387697,1638387
